model_key,model_name,validation_MAE,validation_RMSE,validation_MAPE,test_MAE,test_RMSE,test_MAPE
sarimax,SARIMAX,1918.4663023629928,2610.493915576887,7.223574479771461,2061.943121867673,2925.305103810323,7.645156470100865
prophet,Prophet,1940.985444488802,2407.199766547949,7.138858738729812,1644.6650053001651,2088.6383076582306,6.047051490847133
xgboost_full,XGBoost Full,629.5221874466359,845.6413736305931,2.283915234665367,692.6805538899038,1000.8083434166315,2.48060073279507
xgboost_pruned_top50,XGBoost Pruned Top-50,637.4163660490665,867.8562804644251,2.319687553591789,687.4231001439123,998.9332275679304,2.455934753997436
