model_name,top_n_features,validation_MAE,validation_RMSE,validation_MAPE,test_MAE,test_RMSE,test_MAPE,peak_error_metric,best_params_path,best_params_summary,feature_list_path,mlflow_run_id
xgboost_full,full,629.5221874466359,845.6413736305931,2.283915234665367,692.6805538899038,1000.8083434166315,2.48060073279507,,,See full XGBoost MLflow run.,reports/metrics/xgboost_features.json,
xgboost_pruned_top50,50,637.4163660490665,867.8562804644251,2.319687553591789,687.4231001439123,998.9332275679304,2.455934753997436,,C:\H_Drive\Workstation\007 Data Science\001 Data Science Training\2026_009 7 Day Portfolio Projects\02 Energy Demand Forecasting (Revisited)\reports\metrics\xgboost_pruned_top50_best_params.json,"{""n_estimators"": 358, ""learning_rate"": 0.04214786342696764, ""max_depth"": 8, ""min_child_weight"": 11.812671830781513, ""subsample"": 0.6384281085901489, ""colsample_bytree"": 0.8880171977250302, ""gamma"": 2.9346726251373196, ""reg_alpha"": 1.8896142433887745e-08, ""reg_lambda"": 0.019218837188504246}",C:\H_Drive\Workstation\007 Data Science\001 Data Science Training\2026_009 7 Day Portfolio Projects\02 Energy Demand Forecasting (Revisited)\reports\metrics\xgboost_pruned_top50_features.json,89b55254d2c14bf392f539eda28a171a
